note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
21;64;1/8;21/8;14;1;ornamentation;0;2;True
22;65;1/16;11/4;15;1;repetition;0;2;False
23;64;1/16;45/16;16;1;ornamentation;0;2;False
24;62;1/16;23/8;17;1;match;0;2;False
25;60;1/16;47/16;18;1;ornamentation;0;2;False
26;62;1/4;3;19;1;match;1;2;True
27;65;1/4;3;19;0;match;0;2;True
34;55;3/16;4;24;3;match;3;3;True
34;55;3/16;4;24;2;match;2;3;True
35;62;3/16;4;24;1;match;1;3;True
36;70;3/16;4;24;0;match;0;3;True
37;69;1/16;67/16;25;0;ornamentation;0;3;False
38;67;1/16;17/4;26;0;ornamentation;0;3;False
39;65;1/16;69/16;27;0;ornamentation;0;3;False
40;64;1/32;35/8;28;0;ornamentation;0;3;True
39;65;1/16;69/16;27;0;ornamentation;0;4;True
40;64;1/32;35/8;28;0;ornamentation;0;4;False
41;65;1/32;141/32;29;0;ornamentation;0;4;False
42;67;1/32;71/16;30;0;ornamentation;0;4;False
43;69;1/32;143/32;31;0;ornamentation;0;4;False
44;55;1/8;9/2;32;3;match;2;4;True
45;62;1/8;9/2;32;1;match;1;4;True
46;70;1/8;9/2;32;0;repetition;0;4;True
47;69;1/8;37/8;33;0;ornamentation;0;6;True
48;70;1/16;19/4;34;0;repetition;0;6;False
49;69;1/16;77/16;35;0;ornamentation;0;6;False
50;67;1/16;39/8;36;0;match;0;6;False
51;65;1/16;79/16;37;0;ornamentation;0;6;False
52;55;1/8;5;38;3;match;2;6;True
53;59;1/8;5;38;1;match;1;6;True
54;67;1/8;5;38;0;match;0;6;True
58;67;1/8;43/8;41;3;ornamentation;0;8;True
59;53;1/16;11/2;42;3;match;0;8;False
60;64;1/16;89/16;43;1;ornamentation;0;8;False
61;62;1/16;45/8;44;1;ornamentation;0;8;False
62;60;1/16;91/16;45;1;ornamentation;0;8;False
63;64;1/16;23/4;46;1;repetition;0;8;False
64;62;1/16;93/16;47;2;ornamentation;0;8;False
65;60;1/16;47/8;48;2;ornamentation;0;8;False
66;62;1/16;95/16;49;2;ornamentation;0;8;False
67;52;1/2;6;50;3;match;2;8;True
68;60;1/2;6;50;2;match;1;8;True
69;67;1/2;6;50;0;match;0;8;True
81;68;1/8;61/8;56;0;ornamentation;0;10;True
82;69;1/16;31/4;57;0;repetition;0;10;False
83;68;1/16;125/16;58;0;ornamentation;0;10;False
84;66;1/16;63/8;59;0;ornamentation;0;10;False
85;68;1/16;127/16;60;0;ornamentation;0;10;False
